date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:20:42	117119/117119	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2020:20:42%20GMT	http://www.pegadaspelomundo.com.br/eurotrip-2017-roteiro-de-6-dias-na-suica-parte-3-interlaken-volta-pra-casa-e-consideracoes-finais/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/eurotrip-2017-roteiro-de-6-dias-na-suica-parte-3-interlaken-volta-pra-casa-e-consideracoes-finais/index.html	(from http://www.pegadaspelomundo.com.br/)
17:20:47	129469/129469	---M--	200	added ('OK')	image/jpeg	etag:%220f8a87af2cd41:0%22	http://www.pegadaspelomundo.com.br/wp-content/uploads/2018/08/IMG_20170602_111531471-1024x576.jpg	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-content/uploads/2018/08/IMG_20170602_111531471-1024x576.jpg	(from http://www.pegadaspelomundo.com.br/)
17:21:11	144545/144545	---M--	200	added ('OK')	image/jpeg	etag:%220534fa09d2bd41:0%22	http://www.pegadaspelomundo.com.br/wp-content/uploads/2018/08/IMG_20170602_125816884-1024x576.jpg	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-content/uploads/2018/08/IMG_20170602_125816884-1024x576.jpg	(from http://www.pegadaspelomundo.com.br/)
17:25:46	1998058/1998058	---M--	200	added ('OK')	image/jpeg	etag:%2207177e882fad21:0%22	http://www.pegadaspelomundo.com.br/wp-content/uploads/2017/07/neuschwanstein.jpg	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-content/uploads/2017/07/neuschwanstein.jpg	(from http://www.pegadaspelomundo.com.br/)
17:26:19	195891/195891	---M--	200	added ('OK')	image/jpeg	etag:%2207ec2b5992bd41:0%22	http://www.pegadaspelomundo.com.br/wp-content/uploads/2018/08/IMG_20170602_123732436_HDR-1024x576.jpg	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-content/uploads/2018/08/IMG_20170602_123732436_HDR-1024x576.jpg	(from http://www.pegadaspelomundo.com.br/)
17:31:40	4179566/4179566	---M--	200	added ('OK')	image/jpeg	etag:%220ed1bf9972bd41:0%22	http://www.pegadaspelomundo.com.br/wp-content/uploads/2018/08/IMG_20170602_111531471.jpg	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-content/uploads/2018/08/IMG_20170602_111531471.jpg	(from http://www.pegadaspelomundo.com.br/)
17:31:56	98383/98383	---M--	200	added ('OK')	image/jpeg	etag:%220a1c1f39d2bd41:0%22	http://www.pegadaspelomundo.com.br/wp-content/uploads/2018/08/IMG_20170602_134718043_HDR-1024x576.jpg	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-content/uploads/2018/08/IMG_20170602_134718043_HDR-1024x576.jpg	(from http://www.pegadaspelomundo.com.br/)
17:36:11	3662901/3662901	---M--	200	added ('OK')	image/jpeg	etag:%220475ff19d2bd41:0%22	http://www.pegadaspelomundo.com.br/wp-content/uploads/2018/08/IMG_20170602_134718043_HDR.jpg	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-content/uploads/2018/08/IMG_20170602_134718043_HDR.jpg	(from http://www.pegadaspelomundo.com.br/)
17:36:33	129132/129132	---M--	200	added ('OK')	image/jpeg	etag:%220c7e99d2bd41:0%22	http://www.pegadaspelomundo.com.br/wp-content/uploads/2018/08/dIMG_20170602_134457998-1024x576.jpg	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-content/uploads/2018/08/dIMG_20170602_134457998-1024x576.jpg	(from http://www.pegadaspelomundo.com.br/)
17:36:45	5976292/5976292	---M--	200	added ('OK')	image/jpeg	etag:%220f9ec9d9d2bd41:0%22	http://www.pegadaspelomundo.com.br/wp-content/uploads/2018/08/IMG_20170602_125816884.jpg	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-content/uploads/2018/08/IMG_20170602_125816884.jpg	(from http://www.pegadaspelomundo.com.br/)
